,id,title,price,available_quantity,city,state,seller,Brand
0,MLA1213216754,Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb De Memoria Ram,35999.0,100,Parque Chas,Capital Federal,ELECTRO WORLD2,CHORMECAST
1,MLA832079323,Google Chromecast Ga00439 3.ª Generación Full Hd Carbón,23000.0,500,Capital Federal,Capital Federal,LAMEJORSOLUCION,CHORMECAST
2,MLA1381364734,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,30730.0,1,Colegiales,Capital Federal,BITECH GROUP,CHORMECAST
3,MLA1413418134,Xiaomi Mi Tv Stick Mdz-24-aa Control De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,29999.0,50,Ciudad Autonoma de Buenos Aires,Capital Federal,OHPIC,CHORMECAST
4,MLA1333256461,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,41499.0,1,Rosario,Santa Fe,TECHWAY SRL,CHORMECAST
5,MLA1117413521,Tv Stick Anycast M9 Plus Negro Con 128mb De Memoria Ram,5109.06,1,San Nicolás,Capital Federal,DUAITEK,CHORMECAST
6,MLA1169331764,Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram,24291.0,50,Chacarita,Capital Federal,INTEGRADOS ARGENTINOS,CHORMECAST
7,MLA1381880396,Tv Box Convertidor Smart 4k Netflix Youtube Android Mini Pc,21200.0,1,Ramos Mejia,Buenos Aires,JUSTSOLUTIONSA,CHORMECAST
8,MLA1370811937,Xiaomi Mi Box S Mdz-22-ab Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,46990.0,1,San Justo,Buenos Aires,SANJUSTOCENTROCOMPUTACION,CHORMECAST
9,MLA1199951609,Google Chromecast With Google Tv De Voz 4k 8gb Sky Con 2gb De Memoria Ram,37899.0,500,Parque Chas,Capital Federal,ELECTROWORLDGROUPARGENTINA,CHORMECAST
10,MLA1133995390,Google Chromecast 2.ª Generación Full Hd 256mb Rojo Con 512mb De Memoria Ram,19999.0,1,Paternal,Capital Federal,GAMESTATION ARG,CHORMECAST
11,MLA880660416,Anycast M9 Plus Netflix Flow Smart Tv Chromecast Wifi 2.4g ,5109.06,1,Paternal,Capital Federal,TODOMICRO,CHORMECAST
12,MLA1131067350,Google Chromecast 4 Control De Voz 4k 8gb En Caja Con Fuente,34999.0,50,Palermo,Capital Federal,TODOTEC.COM.AR,CHORMECAST
13,MLA1179751529,Google Chromecast 3.ª Generación Full Hd Carbón,24499.0,200,Parque Chas,Capital Federal,ELECTRO WORLD2,CHORMECAST
14,MLA1113470749, Google Chromecast  3 Full Hd Media Streaming Negro Carbón,23999.0,1,Haedo,Buenos Aires,FENIXCORP SRL,CHORMECAST
15,MLA1152328318,Google Chromecast With Google Tv De Voz 4k Snow Androidtv,55500.0,1,Santa Fe,Santa Fe,NETFE_STAFE,CHORMECAST
16,MLA1343987671,Chromecast Google Tv Hd Voz 8gb Y 2gb Ram Original Pcreg,32999.0,100,Almagro,Capital Federal,PCREGISTRADAOK,CHORMECAST
17,MLA1256846341,Chromecast Smart Netflix Google Tv Full Hd Hdr Contr Remoto,32299.05,1,San Nicolás,Capital Federal,COOL-TECH-,CHORMECAST
18,MLA910313990, Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,35999.0,250,Parque Chas,Capital Federal,ELECTROWORLDGROUPARGENTINA,CHORMECAST
19,MLA1423039768,Google Chromecast Ultra 4k Negro,46500.0,1,Monte Castro,Capital Federal,PANCHITAFTW,CHORMECAST
20,MLA1124759816,Google Chromecast Full Hd Carbón,24749.0,500,Parque Chas,Capital Federal,ELECTROWORLDGROUPARGENTINA,CHORMECAST
21,MLA905544555,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,33699.0,1,Palermo,Capital Federal,TENDEX,CHORMECAST
22,MLA1164049535,Tv Box Nvidia Shield Tv Pro Versión 2019 Control De Voz 4k 16gb Negro Con 3gb De Memoria Ram,169999.0,1,Ciudad Autonoma de Buenos Aires,Capital Federal,MAGATEKNO,CHORMECAST
23,MLA1229163569,Tv Stick Realme 4k Smart Tv Stick Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,38638.79,1,Barracas,Capital Federal,IVMACO,CHORMECAST
24,MLA1121937411,Google Chromecast Google Tv De Voz 4k 8gb Cargador Original,39998.0,50,MICROCENTRO,Capital Federal,RAPIDA_ENTREGA_,CHORMECAST
25,MLA615019452,Google Chromecast 3 Smart Tv Hdmi Usb Nuevo Modelo Local,23000.0,500,Capital Federal,Capital Federal,LAMEJORSOLUCION,CHORMECAST
26,MLA1120848222,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,30399.0,1,Villa Santa Rita,Capital Federal,SM SPACE,CHORMECAST
27,MLA1378957302,Chromecast Google Tv 4ta Generacion 1080p Con Fuente,40500.0,1,Santa Fe,Santa Fe,NETFE_STAFE,CHORMECAST
28,MLA759895787,Google Chromecast 3 Generacion Smart Tv Original + Fuente,23999.0,1,Monserrat,Capital Federal,OFERTAS INFORMATICAS,CHORMECAST
29,MLA885133507,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,34039.08,1,San Nicolás,Capital Federal,COOL-TECH-,CHORMECAST
30,MLA1100371030, Google Chromecast 3rd Generation  Full Hd  Carbón,6800.0,100,Caballito,Capital Federal,.-TODOIMPORTADO.-1136187723,CHORMECAST
31,MLA1213210667,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,35999.0,100,Parque Chas,Capital Federal,ELECTRO WORLD2,CHORMECAST
32,MLA914388347,Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual,43799.0,1,San Nicolás,Capital Federal,TECNOSTOCK.COM.AR,CHORMECAST
33,MLA1324107998,Chromecast Google Ga03131 Google Tv Hd 8gb ,32999.0,1,Ramos Mejía,Buenos Aires,VIRTUAL-HOUSE,CHORMECAST
34,MLA1181832416,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,46749.0,50,Parque Chas,Capital Federal,ELECTRO WORLD2,CHORMECAST
35,MLA1104749278, Google Chromecast 3rd Generation  Full Hd  Carbón,29999.0,500,Paternal,Capital Federal,BAZA 10,CHORMECAST
36,MLA763377681,Convertidor Google Chromecast 3era Gen Con Fuente Externa,29999.0,100,Paternal,Capital Federal,GAMESTATION ARG,CHORMECAST
37,MLA1346263508,Chromecast Ga03131 Google Tv Hd Full Hd 8gb Control Remoto,32999.0,1,San Nicolás,Capital Federal,BH COMPUTACION,CHORMECAST
38,MLA1367569267,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,33000.0,1,Monserrat,Capital Federal,STHETIQUE COSMETICA,CHORMECAST
39,MLA1368841989,Convertidor Smart Tv Android Xiaomi Mi Tv Stick Chromecast  ,29500.0,1,Mar del Plata,Buenos Aires,MOVILES ONLINE,CHORMECAST
40,MLA763377318,Google Chromecast 3 Cromecast 3era Generacion 2019 Netflix,29999.0,500,Paternal,Capital Federal,BAZA 10,CHORMECAST
41,MLA1338905596,Google Chromecast Google Tv Control De Voz,34999.0,1,Benavidez,Buenos Aires,ENERGENERATION,CHORMECAST
42,MLA1113438254,Google Chromecast 3 Full Hd Media Streaming Negro Carbón,30999.0,1,Haedo,Buenos Aires,FENIXCORP SRL,CHORMECAST
43,MLA930960168, Google Chromecast Con Control De Voz 4k 8gb Snow 2gb De Ram,37000.0,1,Buenos Aires,Capital Federal,ARGENPRINT,CHORMECAST
