,title,price,available_quantity,seller,city,state,Brand
0,Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb De Memoria Ram,35999.0,100,ELECTRO WORLD2,Parque Chas,Capital Federal,CHORMECAST
1,Google Chromecast Ga00439 3.ª Generación Full Hd Carbón,23000.0,500,LAMEJORSOLUCION,Capital Federal,Capital Federal,CHORMECAST
2,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,30730.0,1,BITECH GROUP,Colegiales,Capital Federal,CHORMECAST
3,Xiaomi Mi Tv Stick Mdz-24-aa Control De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,29999.0,50,OHPIC,Ciudad Autonoma de Buenos Aires,Capital Federal,CHORMECAST
4,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,41499.0,1,TECHWAY SRL,Rosario,Santa Fe,CHORMECAST
5,Tv Stick Anycast M9 Plus Negro Con 128mb De Memoria Ram,5109.06,1,DUAITEK,San Nicolás,Capital Federal,CHORMECAST
6,Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram,24291.0,50,INTEGRADOS ARGENTINOS,Chacarita,Capital Federal,CHORMECAST
7,Tv Box Convertidor Smart 4k Netflix Youtube Android Mini Pc,21200.0,1,JUSTSOLUTIONSA,Ramos Mejia,Buenos Aires,CHORMECAST
8,Xiaomi Mi Box S Mdz-22-ab Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,46990.0,1,SANJUSTOCENTROCOMPUTACION,San Justo,Buenos Aires,CHORMECAST
9,Google Chromecast With Google Tv De Voz 4k 8gb Sky Con 2gb De Memoria Ram,37899.0,500,ELECTROWORLDGROUPARGENTINA,Parque Chas,Capital Federal,CHORMECAST
10,Google Chromecast 2.ª Generación Full Hd 256mb Rojo Con 512mb De Memoria Ram,19999.0,1,GAMESTATION ARG,Paternal,Capital Federal,CHORMECAST
11,Google Chromecast 4 Control De Voz 4k 8gb En Caja Con Fuente,34999.0,50,TODOTEC.COM.AR,Palermo,Capital Federal,CHORMECAST
12,Google Chromecast 3.ª Generación Full Hd Carbón,24499.0,200,ELECTRO WORLD2,Parque Chas,Capital Federal,CHORMECAST
13, Google Chromecast  3 Full Hd Media Streaming Negro Carbón,23999.0,1,FENIXCORP SRL,Haedo,Buenos Aires,CHORMECAST
14,Google Chromecast With Google Tv De Voz 4k Snow Androidtv,55500.0,1,NETFE_STAFE,Santa Fe,Santa Fe,CHORMECAST
15,Chromecast Google Tv Hd Voz 8gb Y 2gb Ram Original Pcreg,32999.0,100,PCREGISTRADAOK,Almagro,Capital Federal,CHORMECAST
16,Chromecast Smart Netflix Google Tv Full Hd Hdr Contr Remoto,32299.05,1,COOL-TECH-,San Nicolás,Capital Federal,CHORMECAST
17, Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,35999.0,250,ELECTROWORLDGROUPARGENTINA,Parque Chas,Capital Federal,CHORMECAST
18,Google Chromecast Ultra 4k Negro,46500.0,1,PANCHITAFTW,Monte Castro,Capital Federal,CHORMECAST
19,Google Chromecast Full Hd Carbón,24749.0,500,ELECTROWORLDGROUPARGENTINA,Parque Chas,Capital Federal,CHORMECAST
20,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,33699.0,1,TENDEX,Palermo,Capital Federal,CHORMECAST
21,Tv Box Nvidia Shield Tv Pro Versión 2019 Control De Voz 4k 16gb Negro Con 3gb De Memoria Ram,169999.0,1,MAGATEKNO,Ciudad Autonoma de Buenos Aires,Capital Federal,CHORMECAST
22,Tv Stick Realme 4k Smart Tv Stick Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,38638.79,1,IVMACO,Barracas,Capital Federal,CHORMECAST
23,Google Chromecast Google Tv De Voz 4k 8gb Cargador Original,39998.0,50,RAPIDA_ENTREGA_,MICROCENTRO,Capital Federal,CHORMECAST
24,Google Chromecast 3 Smart Tv Hdmi Usb Nuevo Modelo Local,23000.0,500,LAMEJORSOLUCION,Capital Federal,Capital Federal,CHORMECAST
25,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,30399.0,1,SM SPACE,Villa Santa Rita,Capital Federal,CHORMECAST
26,Chromecast Google Tv 4ta Generacion 1080p Con Fuente,40500.0,1,NETFE_STAFE,Santa Fe,Santa Fe,CHORMECAST
27,Google Chromecast 3 Generacion Smart Tv Original + Fuente,23999.0,1,OFERTAS INFORMATICAS,Monserrat,Capital Federal,CHORMECAST
28,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,34039.08,1,COOL-TECH-,San Nicolás,Capital Federal,CHORMECAST
29, Google Chromecast 3rd Generation  Full Hd  Carbón,6800.0,100,.-TODOIMPORTADO.-1136187723,Caballito,Capital Federal,CHORMECAST
30,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,35999.0,100,ELECTRO WORLD2,Parque Chas,Capital Federal,CHORMECAST
31,Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual,43799.0,1,TECNOSTOCK.COM.AR,San Nicolás,Capital Federal,CHORMECAST
32,Chromecast Google Ga03131 Google Tv Hd 8gb ,32999.0,1,VIRTUAL-HOUSE,Ramos Mejía,Buenos Aires,CHORMECAST
33,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,46749.0,50,ELECTRO WORLD2,Parque Chas,Capital Federal,CHORMECAST
34, Google Chromecast 3rd Generation  Full Hd  Carbón,29999.0,500,BAZA 10,Paternal,Capital Federal,CHORMECAST
35,Convertidor Google Chromecast 3era Gen Con Fuente Externa,29999.0,100,GAMESTATION ARG,Paternal,Capital Federal,CHORMECAST
36,Chromecast Ga03131 Google Tv Hd Full Hd 8gb Control Remoto,32999.0,1,BH COMPUTACION,San Nicolás,Capital Federal,CHORMECAST
37,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,33000.0,1,STHETIQUE COSMETICA,Monserrat,Capital Federal,CHORMECAST
38,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,39846.29,100,IVMACO,Barracas,Capital Federal,CHORMECAST
39,Google Chromecast 3 Cromecast 3era Generacion 2019 Netflix,29999.0,500,BAZA 10,Paternal,Capital Federal,CHORMECAST
40,Google Chromecast Google Tv Control De Voz,34999.0,1,ENERGENERATION,Benavidez,Buenos Aires,CHORMECAST
41,Google Chromecast 3 Full Hd Media Streaming Negro Carbón,30999.0,1,FENIXCORP SRL,Haedo,Buenos Aires,CHORMECAST
42, Google Chromecast Con Control De Voz 4k 8gb Snow 2gb De Ram,37000.0,1,ARGENPRINT,Buenos Aires,Capital Federal,CHORMECAST
43, Google Chromecast 3rd Generation  Full Hd  Carbón,32474.0,50,ELECTROWORLDGROUPARGENTINA,Parque Chas,Capital Federal,CHORMECAST
44,Google Chromecast 4k Android Tv Control De Voz Color Blanco!,57990.0,1,INTEGRADOS ARGENTINOS,Chacarita,Capital Federal,CHORMECAST
45,Chromecast Google 3rd Generation  Full Hd 1080 Hdmi,23500.0,1,GONDOR STORE,Caballito,Capital Federal,CHORMECAST
46,Google Chromecast 3 Gen Smart Tv Hdmi Caja C/ Fuente,30999.0,50,BH COMPUTACION,San Nicolás,Capital Federal,CHORMECAST
47,Google Chromecast 3rd Generation Full Hd Carbón Negro,24999.0,1,ELQUINTO TECNOLOGIA,Caballito,Capital Federal,CHORMECAST
48,Google Chromecast 2 Streaming Full Hd Netxflix Wifi Sin Caja,22999.0,500,GAMESTATION ARG,Paternal,Capital Federal,CHORMECAST
49,Google Chromecast 3.ª Generación Full Hd Carbón,32474.0,50,ELECTRO WORLD2,Parque Chas,Capital Federal,CHORMECAST
50,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Black Series Con Google Tv,154999.0,250,PILISAR 33709180849,Monte Chingolo,Buenos Aires,SMARTV
51,Soporte Para Tv Libercam Lc-03 Smart Movil Brazo Articulado 14 A 55 Pulgada Negro,4699.0,500,LIBERCAM,Boedo,Capital Federal,SMARTV
52,Tv Box Noga Pc Ultra Estándar 4k 8gb Negro Con 1gb De Memoria Ram,14999.6,150,PCREGISTRADAOK,Almagro,Capital Federal,SMARTV
53,Smart Tv 32 Philips Android Hd 32phd6917/77 110-240v,58999.0,1,OPENFACTORY,Villa Urquiza,Capital Federal,SMARTV
54,Soporte Nictom Sp01 De Pared Para Tv/monitor De 32  A 75  Negro,17999.0,150,NYT SRL,Buenos Aires,Capital Federal,SMARTV
55,Tv Stick Anycast M9 Plus Negro Con 128mb De Memoria Ram,5109.06,1,DUAITEK,San Nicolás,Capital Federal,SMARTV
56,Smart Tv Noblex Dk32x5050pi Led Hd 32'',54499.0,1,DMAKER SA,Parque Patricios,Capital Federal,SMARTV
57,Smart Tv Quint Qt1-32frame Led Linux Hd 32  220v,69999.0,1,DMAKER SA,Parque Patricios,Capital Federal,SMARTV
58,Smart Tv Philips 6900 Series 43pfd6917/77 Led Android 10 Full Hd 43  110v/240v,91999.0,1,TIOMUSA,Caballito,Capital Federal,SMARTV
59,Smart Tv Quint 43 Qt1-43frame Led 1080p Fhd Wifi Linux,71999.0,150,DMAKER SA,Parque Patricios,Capital Federal,SMARTV
60,Control Remoto Para Rca Tcl Hitachi Smart,2598.98,50,GALLIO ELECTRÓNICA,Córdoba,Córdoba,SMARTV
61,Smart Tv Kodak We-32mt005 Led Hd 32  220v,50499.0,500,MULTI.HOGAR,Garín,Buenos Aires,SMARTV
62,Smart Tv Sansei Tds2332hichpi Led Hd 32 Android Tv 220v,54499.0,150,PILISAR 33709180849,Monte Chingolo,Buenos Aires,SMARTV
63,Soporte Lcd Led Fijo Tv 43 42 40 32 24 Ss2020 Vesa 20x20,1699.0,500,SMARTSOPORTES,Palermo,Capital Federal,SMARTV
64,Smart Noblex 50  91dk50x6550 4k Sistema Vidaa,113499.0,150,PILISAR 33709180849,Monte Chingolo,Buenos Aires,SMARTV
65,Smart Tv 43 Skyworth Led Hd Android Tv,89999.0,1,ITECOM DIGITAL,Monte Castro,Capital Federal,SMARTV
66,Tv 32 Smart Full Hd 1366px 768px Led Dtv Netflix Youtube,50499.0,500,MULTI.HOGAR,Garín,Buenos Aires,SMARTV
67,Control Remoto En2h27 Para Smart Bgh Noblex Sanyo Jvc Otras,2398.98,100,GALLIO ELECTRÓNICA,Córdoba,Córdoba,SMARTV
68,Control Remoto Universal Smart Tv Led Lcd Netflix Youtube   ,1499.0,250,ELECTRO LAND,Boedo,Capital Federal,SMARTV
